"","new_name","country","year","lon","lat","rank_cwur","national_rank_cwur","quality_of_education","alumni_employment","quality_of_faculty","publications","influence","citations_cwur","broad_impact","patents","total_score_cwur","rank_times","teaching","international","research","citations_times","income","total_score_times","num_students","student_staff_ratio","international_students","female_male_ratio","rank_shanghai","national_rank_shanghai","total_score_shanghai","alumni","award","hici","ns","pub","pcp"
"463","Tohoku University","Japan",2015,NA,NA,73,6,41,170,218,68,127,115,119,22,52.57,165,49.7,29.7,47.3,49.6,76.8,48.1,"17,200",5,"7%","25 : 75",126,"5",NA,14.5,0,23.9,21,52.2,21.6
"465","Tilburg University","Netherlands",2015,NA,NA,689,13,367,289,218,566,878,428,732,871,44.37,288,33,62.2,45.1,34.9,55.1,NA,"7,576",22.4,"10%","49 : 51",NA,NA,NA,NA,NA,NA,NA,NA,NA
"475","Teikyo University","Japan",2015,NA,NA,908,70,367,567,218,966,767,812,850,803,44.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"477","Technion Israel Institute of Technology","Israel",2015,NA,NA,136,4,45,180,55,186,221,161,209,88,49.12,213,36.9,60.6,37.5,52,36.5,NA,"13,855",19.4,"4%","35 : 65",77,"2",26.7,23.5,37.6,15.2,18.3,33.3,28.2
"479","Technical University of Madrid","Spain",2015,NA,NA,435,12,215,212,218,470,697,645,770,110,45.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"482","Technical University of Darmstadt","Germany",2015,NA,NA,374,34,66,344,218,376,457,368,413,330,45.32,263,36.9,59.6,33.7,42,88.9,NA,"20,300",53.6,"18%","28 : 72",450,"29-39",NA,14.5,0,3.6,7.6,27.8,15
"484","Technical University of Berlin","Germany",2015,NA,NA,345,30,85,271,218,360,412,368,388,177,45.52,238,42.2,70.4,32.3,47,63.4,NA,"",NA,"","",350,"22-28",NA,16.2,0,7.8,7.4,29.1,16.5
"486","Tarbiat Modares University","Iran",2015,NA,NA,912,4,367,567,218,769,991,812,867,871,44.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"490","Swiss Federal Institute of Technology Lausanne","Switzerland",2015,NA,NA,91,2,367,74,116,124,114,39,110,58,51.47,34,54.7,98.8,56.9,95,61.9,70.9,"9,666",10.5,"54%","27 : 73",126,"5",NA,0,0,26.1,29.2,41.8,38.4
"492","Swinburne University of Technology","Australia",2015,NA,NA,688,20,367,567,218,654,456,511,606,772,44.38,376,20.2,86.9,16.3,50.2,38.8,NA,"20,314",36.5,"33%","44 : 56",350,"12-19",NA,0,0,11.3,10.7,22.3,22.6
"493","Swedish University of Agricultural Sciences","Sweden",2015,NA,NA,416,10,146,567,218,393,268,428,353,871,45.12,263,27.9,49.6,25.2,59.9,99.8,NA,"3,879",4.6,"","67 : 33",250,"6-7",NA,0,0,13.3,14.3,29.1,24.2
"496","Sungkyunkwan University","South Korea",2015,NA,NA,211,7,367,225,218,194,317,161,270,69,47.19,148,48.1,35.8,50.2,51.7,98.5,50.2,"24,365",20.3,"9%","39 : 61",250,"2-5",NA,0,0,0,11.1,47,21.4
"500","Stockholm School of Economics","Sweden",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,450,"11",NA,0,16.3,0,NA,10.2,39.4
"509","Southern Methodist University","United States of America",2015,NA,NA,142,68,179,28,218,624,655,368,646,824,48.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"511","Southern Illinois University Carbondale","United States of America",2015,NA,NA,590,175,208,533,218,591,512,812,520,588,44.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"517","Sogang University","South Korea",2015,NA,NA,581,21,367,567,218,806,798,812,921,115,44.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
